,Country,Continent,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24
0,Afghanistan,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,10.0,16.0,21.0,22.0,22.0,22.0,24.0,24.0,34.0,40.0,42.0,75.0,75.0,91.0,106.0,114.0,141.0,166.0,192.0,235.0,235.0,270.0,299.0,337.0,367.0,423.0,484.0,521.0,555.0,607.0,665.0,714.0,784.0,794.0,845.0,908.0,996.0,1031.0,1092.0,1176.0,1281.0,1351.0,1463.0,1531.0,1703.0,1827.0,1949.0,2171.0,2335.0,2469.0,2704.0,2894.0,3224.0,3392.0,3563.0,3778.0,4033.0,4402.0,4687.0,4967.0,5226.0,5339.0,6402.0,6402.0,6664.0,7072.0,7653.0,8145.0,8676.0,9216.0,9998.0,10582.0,11173.0,11831.0,12456.0,13036.0,13659.0,14525.0,15205.0,15750.0,16509.0,17267.0,18054.0,18969.0,19551.0,20342.0,20917.0,21459.0,22143.0,22890.0,23546.0,24102.0,24766.0,25527.0,26310.0,26874.0,27532.0,27878.0,28424.0,28833.0,29143.0,29481.0
1,Albania,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,11.0,23.0,33.0,38.0,42.0,51.0,55.0,59.0,70.0,70.0,76.0,89.0,100.0,123.0,146.0,174.0,186.0,197.0,212.0,223.0,243.0,259.0,277.0,304.0,333.0,361.0,377.0,383.0,400.0,409.0,416.0,433.0,446.0,467.0,475.0,494.0,518.0,539.0,548.0,562.0,584.0,609.0,634.0,663.0,678.0,712.0,726.0,736.0,750.0,766.0,773.0,782.0,789.0,795.0,803.0,820.0,832.0,842.0,850.0,856.0,868.0,872.0,876.0,880.0,898.0,916.0,933.0,946.0,948.0,949.0,964.0,969.0,981.0,989.0,998.0,1004.0,1029.0,1050.0,1076.0,1099.0,1122.0,1137.0,1143.0,1164.0,1184.0,1197.0,1212.0,1232.0,1246.0,1263.0,1299.0,1341.0,1385.0,1416.0,1464.0,1521.0,1590.0,1672.0,1722.0,1788.0,1838.0,1891.0,1927.0,1995.0,2047.0
2,Algeria,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,12.0,17.0,17.0,17.0,20.0,20.0,20.0,20.0,25.0,26.0,37.0,48.0,58.0,60.0,72.0,90.0,102.0,139.0,201.0,230.0,264.0,302.0,367.0,409.0,454.0,511.0,584.0,716.0,847.0,986.0,1171.0,1251.0,1320.0,1423.0,1468.0,1572.0,1666.0,1761.0,1825.0,1914.0,1983.0,2070.0,2160.0,2268.0,2418.0,2535.0,2629.0,2718.0,2811.0,2910.0,3007.0,3127.0,3256.0,3382.0,3517.0,3649.0,3848.0,4006.0,4154.0,4295.0,4474.0,4648.0,4838.0,4997.0,5182.0,5369.0,5558.0,5723.0,5891.0,6067.0,6253.0,6442.0,6629.0,6821.0,7019.0,7201.0,7377.0,7542.0,7728.0,7918.0,8113.0,8306.0,8503.0,8697.0,8857.0,8997.0,9134.0,9267.0,9394.0,9513.0,9626.0,9626.0,9831.0,9935.0,10050.0,10154.0,10265.0,10382.0,10484.0,10589.0,10698.0,10810.0,10919.0,11031.0,11147.0,11268.0,11385.0,11504.0,11631.0,11771.0,11920.0,12076.0
3,Andorra,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,14.0,14.0,53.0,75.0,75.0,88.0,113.0,133.0,164.0,188.0,224.0,267.0,308.0,334.0,370.0,376.0,390.0,428.0,439.0,466.0,501.0,526.0,545.0,564.0,583.0,601.0,622.0,638.0,646.0,659.0,673.0,682.0,696.0,704.0,713.0,717.0,717.0,723.0,724.0,731.0,733.0,740.0,743.0,743.0,743.0,745.0,746.0,747.0,748.0,750.0,751.0,751.0,752.0,752.0,754.0,755.0,756.0,758.0,760.0,761.0,761.0,761.0,761.0,761.0,761.0,762.0,762.0,762.0,762.0,763.0,763.0,763.0,763.0,763.0,764.0,764.0,764.0,765.0,844.0,851.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,853.0,853.0,853.0,853.0,854.0,854.0,855.0,855.0,855.0,855.0,855.0,855.0
4,Angola,Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,14.0,16.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,29.0,35.0,35.0,35.0,36.0,36.0,36.0,43.0,43.0,45.0,45.0,45.0,45.0,48.0,48.0,48.0,48.0,48.0,50.0,52.0,58.0,60.0,60.0,69.0,69.0,71.0,71.0,73.0,77.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,91.0,92.0,96.0,113.0,118.0,130.0,138.0,140.0,142.0,142.0,155.0,155.0,166.0,172.0,176.0,183.0,186.0
5,Anguilla,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
6,Antigua and Barbuda,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
7,Argentina,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,9.0,12.0,12.0,19.0,19.0,31.0,34.0,45.0,56.0,65.0,79.0,97.0,128.0,158.0,225.0,266.0,301.0,387.0,502.0,589.0,690.0,745.0,820.0,966.0,966.0,1133.0,1133.0,1265.0,1451.0,1554.0,1628.0,1715.0,1795.0,1894.0,1975.0,2137.0,2203.0,2272.0,2432.0,2432.0,2560.0,2658.0,2828.0,2930.0,3020.0,3132.0,3276.0,3423.0,3423.0,3767.0,3767.0,3990.0,4114.0,4272.0,4415.0,4519.0,4668.0,4770.0,4874.0,5007.0,5195.0,5358.0,5598.0,5763.0,5776.0,6021.0,6550.0,6866.0,7121.0,7466.0,7792.0,7792.0,8358.0,8796.0,9270.0,9918.0,10636.0,11340.0,12063.0,12615.0,13215.0,13920.0,14689.0,15406.0,16201.0,16838.0,17402.0,18306.0,19255.0,19255.0,21024.0,22007.0,22781.0,23607.0,24748.0,25987.0,27360.0,28751.0,30282.0,31564.0,32772.0,34146.0,35539.0,35539.0,39557.0,41191.0,42772.0,44918.0,44918.0
8,Armenia,Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,13.0,20.0,30.0,52.0,78.0,115.0,122.0,136.0,160.0,190.0,194.0,265.0,290.0,329.0,372.0,424.0,424.0,482.0,532.0,571.0,663.0,736.0,770.0,822.0,833.0,853.0,881.0,921.0,937.0,967.0,1013.0,1039.0,1111.0,1159.0,1201.0,1248.0,1291.0,1339.0,1401.0,1473.0,1523.0,1596.0,1677.0,1746.0,1808.0,1867.0,1932.0,1932.0,2066.0,2148.0,2273.0,2386.0,2507.0,2619.0,2782.0,2884.0,3029.0,3175.0,3313.0,3392.0,3538.0,3718.0,3860.0,4044.0,4283.0,4472.0,4823.0,5041.0,5271.0,5606.0,5928.0,6302.0,6661.0,7113.0,7402.0,7774.0,8216.0,8676.0,8927.0,9282.0,9492.0,10009.0,10524.0,11221.0,11817.0,12364.0,13130.0,13325.0,13675.0,14103.0,14669.0,15281.0,16004.0,16667.0,17064.0,17489.0,18033.0,18698.0,19157.0,19708.0,20588.0,20588.0,21717.0
9,Aruba,North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,12.0,17.0,19.0,28.0,28.0,28.0,50.0,50.0,55.0,55.0,60.0,62.0,64.0,64.0,71.0,74.0,77.0,82.0,86.0,92.0,92.0,92.0,92.0,93.0,95.0,96.0,96.0,97.0,97.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
